Rank,Name,Team,Position,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,Interceptions,FumblesForced,FumblesRecovered,DefensiveTouchdowns,FantasyPointsPerGame,FantasyPoints,Year
171,Yannick Ngakoue,JAX,DE,16,20,3,6.0,8.0,45.0,14,2,1,4,0,0,4.9,79.0,2016
173,Korey Toomer,LAC,ILB,13,49,22,5.5,1.0,1.0,3,2,0,1,1,0,6.0,78.6,2016
174,Glover Quin,DET,FS,16,55,13,2.0,0.0,0.0,1,5,2,1,0,0,4.9,78.5,2016
174,Ron Parker,KC,SS,16,52,9,1.0,0.0,0.0,0,12,1,2,0,0,4.9,78.5,2016
174,Ronald Darby,BUF,CB,14,60,9,1.0,0.0,0.0,1,12,0,0,0,0,5.6,78.5,2016
177,Brian Poole,ATL,CB,16,42,16,5.5,1.0,8.0,2,9,1,0,2,0,4.9,78.3,2016
178,Richard Sherman,SEA,CB,16,38,20,2.0,0.0,0.0,0,13,4,0,1,0,4.9,78.0,2016
179,Leonard Floyd,CHI,OLB,12,23,10,6.0,7.0,49.5,9,2,0,1,1,1,6.5,77.95,2016
180,George Iloka,CIN,FS,16,48,25,1.0,0.0,0.0,0,7,3,0,0,0,4.8,77.5,2016
180,Keenan Robinson,NYG,OLB,16,54,27,2.0,0.0,0.0,1,7,0,0,0,0,4.8,77.5,2016
180,Joe Thomas,GB,OLB,16,54,15,3.0,0.0,0.0,2,5,1,0,1,0,4.8,77.5,2016
183,William Gholston,TB,DE,14,37,13,9.0,3.5,29.5,8,0,0,1,1,0,5.5,76.45,2016
184,William Hayes,LAR,DE,14,31,12,10.5,5.0,28.0,16,0,0,0,0,0,5.4,76.3,2016
185,Micah Hyde,GB,SS,16,45,11,3.0,1.0,6.0,2,9,3,0,0,0,4.8,76.1,2016
186,Brian Robison,MIN,DE,16,18,10,8.5,7.5,45.5,15,1,0,3,0,0,4.8,76.05,2016
187,Kareem Jackson,HOU,CB,14,51,11,3.5,0.0,0.0,0,4,1,0,1,1,5.4,76.0,2016
188,Stephon Tuitt,PIT,DE,14,27,11,9.0,4.0,30.5,14,3,0,2,0,0,5.4,75.55,2016
189,Keith Tandy,TB,SS,16,44,11,2.0,0.0,0.0,0,9,4,0,1,0,4.7,75.5,2016
189,Jamar Taylor,CLE,CB,15,46,11,1.0,0.0,0.0,1,13,3,0,0,0,5.0,75.5,2016
189,Ross Cockrell,PIT,DB,16,47,15,3.0,0.0,0.0,1,14,0,0,1,0,4.7,75.5,2016
192,Tramaine Brock,SF,CB,16,49,10,4.0,0.0,0.0,0,14,1,0,0,0,4.7,75.0,2016
192,Trumaine Johnson,LAR,CB,14,47,10,3.0,0.0,0.0,0,11,1,0,2,0,5.4,75.0,2016
194,Lamarcus Joyner,LAR,FS,14,50,16,3.0,1.0,7.0,2,5,0,1,0,0,5.3,73.7,2016
194,Jimmie Ward,SF,CB,11,42,10,2.0,1.0,7.0,1,12,1,1,1,0,6.7,73.7,2016
196,Shaq Thompson,CAR,OLB,14,39,16,4.5,0.0,0.0,2,5,1,0,2,1,5.2,73.5,2016
197,Chris Baker,WAS,NT,16,29,18,6.5,3.5,35.5,10,2,0,2,0,0,4.6,73.05,2016
198,Tre Boston,CAR,FS,15,38,14,5.0,2.0,19.0,4,7,2,0,0,0,4.9,72.9,2016
199,Anthony Hitchens,DAL,OLB,16,39,39,4.0,1.5,12.0,5,1,0,0,0,0,4.5,72.7,2016
200,James Bradberry,CAR,CB,13,47,12,3.5,0.0,0.0,0,10,2,0,0,0,5.6,72.5,2016
201,Adam Jones,CIN,CB,16,54,12,0.0,0.0,0.0,1,7,1,1,0,0,4.5,72.0,2016
201,Stephon Gilmore,BUF,CB,15,42,6,0.0,0.0,0.0,0,12,5,0,0,0,4.8,72.0,2016
201,Adrian Amos,CHI,FS,15,55,8,3.0,0.0,0.0,0,4,0,1,1,0,4.8,72.0,2016
204,Willie Young,CHI,OLB,16,22,17,8.0,7.5,43.0,9,2,0,1,0,0,4.5,71.8,2016
205,Preston Smith,WAS,OLB,16,23,16,9.0,5.0,36.0,12,3,1,0,0,0,4.5,71.6,2016
206,Robert Ayers Jr,TB,DE,12,21,8,7.5,6.5,38.5,16,1,0,1,0,0,5.9,71.35,2016
207,Dont'a Hightower,NE,LB,13,31,34,2.0,2.5,20.5,7,2,0,1,0,0,5.5,71.05,2016
208,Andrew Sendejo,MIN,SS,14,42,24,0.5,0.5,5.0,1,4,2,0,2,0,5.1,71.0,2016
208,Sio Moore,ARI,ILB,8,50,15,4.5,0.0,0.0,2,1,0,2,0,0,8.9,71.0,2016
208,Eric Reid,SF,SS,10,48,14,0.0,0.0,0.0,4,6,1,1,0,0,7.1,71.0,2016
208,Ladarius Gunter,GB,CB,16,50,4,1.0,0.0,0.0,0,12,0,2,0,0,4.4,71.0,2016
212,William Gay,PIT,FS,16,42,16,3.5,1.0,10.0,1,7,1,1,0,0,4.4,70.5,2016
213,Wesley Woodyard,TEN,ILB,16,40,13,7.0,2.0,7.0,4,5,1,0,0,0,4.4,70.2,2016
213,Darius Slay,DET,CB,13,43,1,1.0,1.0,7.0,1,13,2,1,0,0,5.4,70.2,2016
215,Brandon Carr,DAL,CB,16,53,8,1.0,0.0,0.0,1,8,1,0,0,0,4.4,70.0,2016
215,Sterling Moore,NO,CB,13,44,12,1.0,0.0,0.0,0,13,2,0,0,0,5.4,70.0,2016
215,Blake Martinez,GB,ILB,13,45,21,4.0,1.0,5.0,1,4,1,0,0,0,5.4,70.0,2016
218,John Simon,HOU,DE,11,32,19,4.0,3.5,19.0,10,2,0,1,0,0,6.3,69.4,2016
219,Briean Boddy-Calhoun,CLE,SS,14,37,4,2.0,1.0,10.0,1,11,3,0,0,1,4.9,69.0,2016
