Rank,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost,FantasyPointsPerGame,FantasyPoints,Year
176,Josh Reynolds,LAR,WR,16,0,0,0,8,0,29,402,5,0,4.4,71.0,2018
177,Albert Wilson,MIA,WR,7,52,1,0,16,0,26,391,4,0,10.1,70.78,2018
178,Ito Smith,ATL,RB,14,0,0,0,315,4,27,152,0,0,5.0,70.7,2018
179,Cordarrelle Patterson,NE,WR,15,0,0,0,228,1,21,247,3,1,4.6,69.5,2018
180,Danny Amendola,MIA,WR,15,28,1,0,-2,0,59,575,1,0,4.6,68.42,2018
181,Brock Osweiler,MIA,QB,7,1247,6,4,21,0,0,0,0,1,9.7,67.98,2018
182,Elijah McGuire,NYJ,RB,8,0,0,0,276,3,19,193,1,2,8.4,66.9,2018
183,Jordan Reed,WAS,TE,13,0,0,0,0,0,54,558,2,1,5.1,65.8,2018
184,Josh Doctson,WAS,WR,15,0,0,0,0,0,44,532,2,0,4.3,65.2,2018
185,Chris Ivory,BUF,RB,13,0,0,0,385,1,13,205,0,0,5.0,65.0,2018
186,Michael Gallup,DAL,WR,16,0,0,0,0,0,33,507,2,0,4.0,64.7,2018
187,Marquise Goodwin,SF,WR,11,0,0,0,9,0,23,395,4,0,5.9,64.4,2018
188,Chester Rogers,IND,WR,16,0,0,0,-4,0,53,485,2,0,4.0,64.1,2018
189,Marshawn Lynch,OAK,RB,6,0,0,0,376,3,15,84,0,0,10.7,64.0,2018
190,John Ross,CIN,WR,13,0,0,0,9,0,21,210,7,0,4.9,63.9,2018
191,Jaylen Samuels,PIT,FB,14,0,0,0,256,0,26,199,3,0,4.5,63.5,2018
192,Cameron Brate,TB,TE,16,0,0,0,0,0,30,289,6,1,3.9,62.9,2018
193,CJ Anderson,LAR,RB,11,0,0,0,403,2,5,41,1,0,5.7,62.4,2018
