Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints,Year,Category
49.0,Rishard Matthews,MIA,WR,11.0,61.0,43.0,70.5,662.0,4.0,53.0,10.9,15.4,1.0,4.0,4.0,0.0,0.0,0.0,8.2,90.6,2015.0,Receiving
50.0,Nate Washington,HOU,WR,14.0,94.0,47.0,50.0,658.0,4.0,49.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,89.8,2015.0,Receiving
51.0,Kenny Britt,LAR,WR,16.0,72.0,36.0,50.0,681.0,3.0,60.0,9.5,18.9,0.0,0.0,0.0,0.0,0.0,0.0,5.4,86.1,2015.0,Receiving
52.0,Steve Smith,BAL,WR,7.0,73.0,46.0,63.0,670.0,3.0,50.0,9.2,14.6,0.0,0.0,0.0,0.0,0.0,0.0,12.1,85.0,2015.0,Receiving
53.0,Danny Amendola,NE,WR,14.0,87.0,65.0,74.7,648.0,3.0,41.0,7.4,10.0,2.0,11.0,5.5,0.0,1.0,1.0,6.0,83.34,2015.0,Receiving
54.0,Dorial Green-Beckham,TEN,WR,16.0,67.0,32.0,47.8,549.0,4.0,47.0,8.2,17.2,0.0,0.0,0.0,0.0,0.0,0.0,5.1,80.9,2015.0,Receiving
55.0,Seth Roberts,OAK,WR,16.0,55.0,32.0,58.2,480.0,5.0,43.0,8.7,15.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,80.0,2015.0,Receiving
56.0,Cole Beasley,DAL,WR,16.0,75.0,52.0,69.3,536.0,5.0,30.0,7.1,10.3,0.0,0.0,0.0,0.0,2.0,2.0,5.0,79.6,2015.0,Receiving
57.0,Marques Colston,NO,WR,13.0,67.0,45.0,67.2,520.0,4.0,53.0,7.8,11.6,0.0,0.0,0.0,0.0,0.0,0.0,5.8,76.0,2015.0,Receiving
58.0,Devin Funchess,CAR,WR,16.0,63.0,31.0,49.2,473.0,5.0,52.0,7.5,15.3,0.0,0.0,0.0,0.0,1.0,1.0,4.7,75.3,2015.0,Receiving
59.0,DeSean Jackson,WAS,WR,10.0,49.0,30.0,61.2,528.0,4.0,77.0,10.8,17.6,0.0,0.0,0.0,0.0,1.0,1.0,7.5,74.8,2015.0,Receiving
60.0,Jamison Crowder,WAS,WR,16.0,78.0,59.0,75.6,604.0,2.0,44.0,7.7,10.2,2.0,2.0,1.0,0.0,5.0,1.0,4.7,74.6,2015.0,Receiving
