Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints,Year,Category
103.0,Deandre Washington,OAK,RB,10.0,30.0,115.0,3.8,0.0,1.0,1.0,9.0,0.0,1.0,1.0,1.0,10.4,2018.0,Rushing
104.0,John Kelly,LAR,RB,4.0,27.0,74.0,2.7,0.0,3.0,2.0,27.0,0.0,0.0,0.0,2.5,10.1,2018.0,Rushing
105.0,Keith Ford,BUF,RB,2.0,21.0,79.0,3.8,0.0,5.0,3.0,21.0,0.0,0.0,0.0,5.0,10.0,2018.0,Rushing
106.0,Charcandrick West,KC,RB,3.0,2.0,-1.0,-0.5,0.0,3.0,2.0,37.0,1.0,0.0,0.0,3.2,9.6,2018.0,Rushing
107.0,CJ Ham,MIN,RB,15.0,6.0,8.0,1.3,0.0,15.0,11.0,85.0,0.0,0.0,0.0,0.6,9.3,2018.0,Rushing
108.0,Devonta Freeman,ATL,RB,2.0,14.0,68.0,4.9,0.0,7.0,5.0,23.0,0.0,0.0,0.0,4.6,9.1,2018.0,Rushing
109.0,D'Onta Foreman,HOU,RB,1.0,7.0,-1.0,-0.1,0.0,2.0,2.0,28.0,1.0,1.0,0.0,8.7,8.7,2018.0,Rushing
110.0,Dontrell Hilliard,CLE,RB,11.0,0.0,0.0,0.0,0.0,10.0,9.0,105.0,0.0,0.0,0.0,0.8,8.5,2018.0,Rushing
111.0,Elijhaa Penny,NYG,RB,12.0,7.0,25.0,3.6,0.0,9.0,8.0,50.0,0.0,0.0,0.0,0.6,7.5,2018.0,Rushing
111.0,Mark Walton,CIN,RB,14.0,14.0,34.0,2.4,0.0,8.0,5.0,41.0,0.0,0.0,0.0,0.5,7.5,2018.0,Rushing
113.0,Kenjon Barner,CAR,RB,9.0,19.0,71.0,3.7,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.8,7.4,2018.0,Rushing
114.0,Patrick DiMarco,BUF,FB,16.0,1.0,9.0,9.0,0.0,4.0,3.0,62.0,0.0,0.0,0.0,0.4,7.1,2018.0,Rushing
115.0,Detrez Newsome,LAC,RB,9.0,11.0,49.0,4.5,0.0,2.0,2.0,19.0,0.0,0.0,0.0,0.8,6.8,2018.0,Rushing
116.0,Roc Thomas,MIN,RB,5.0,8.0,30.0,3.8,0.0,4.0,2.0,21.0,0.0,0.0,0.0,1.0,5.1,2018.0,Rushing
117.0,Mike Boone,MIN,RB,8.0,11.0,47.0,4.3,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.6,4.8,2018.0,Rushing
118.0,Roosevelt Nix,PIT,RB,16.0,1.0,4.0,4.0,0.0,6.0,4.0,38.0,0.0,0.0,0.0,0.3,4.2,2018.0,Rushing
119.0,Tommy Bohanon,JAX,FB,16.0,1.0,0.0,0.0,0.0,9.0,6.0,41.0,0.0,0.0,0.0,0.3,4.1,2018.0,Rushing
120.0,Byron Marshall,WAS,RB,6.0,3.0,9.0,3.0,0.0,6.0,4.0,30.0,0.0,0.0,0.0,0.6,3.9,2018.0,Rushing
120.0,TJ Logan,ARI,RB,10.0,2.0,2.0,1.0,0.0,7.0,7.0,37.0,0.0,0.0,0.0,0.4,3.9,2018.0,Rushing
122.0,Tre Madden,SEA,RB,14.0,3.0,3.0,1.0,0.0,3.0,2.0,35.0,0.0,0.0,0.0,0.3,3.8,2018.0,Rushing
123.0,Samaje Perine,WAS,RB,5.0,8.0,32.0,4.0,0.0,4.0,3.0,5.0,0.0,0.0,0.0,0.7,3.7,2018.0,Rushing
124.0,David Williams,JAX,RB,3.0,8.0,36.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,3.6,2018.0,Rushing
125.0,Tyler Ervin,HOU,RB,9.0,0.0,0.0,0.0,0.0,4.0,3.0,35.0,0.0,1.0,0.0,0.4,3.5,2018.0,Rushing
126.0,Shaun Wilson,TB,RB,5.0,6.0,29.0,4.8,0.0,5.0,3.0,5.0,0.0,0.0,0.0,0.7,3.4,2018.0,Rushing
127.0,Mike Gillislee,NO,RB,4.0,16.0,43.0,2.7,0.0,1.0,1.0,9.0,0.0,1.0,1.0,0.8,3.2,2018.0,Rushing
128.0,Jeremy Hill,NE,RB,1.0,4.0,25.0,6.2,0.0,1.0,1.0,6.0,0.0,0.0,0.0,3.1,3.1,2018.0,Rushing
129.0,Benjamin Cunningham,CHI,RB,15.0,11.0,20.0,1.8,0.0,2.0,1.0,9.0,0.0,0.0,0.0,0.2,2.9,2018.0,Rushing
130.0,Jeremy Langford,ATL,RB,1.0,9.0,25.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2018.0,Rushing
131.0,Keith Smith,OAK,FB,16.0,1.0,0.0,0.0,0.0,7.0,5.0,23.0,0.0,0.0,0.0,0.1,2.3,2018.0,Rushing
132.0,Travaris Cadet,CAR,RB,1.0,11.0,17.0,1.5,0.0,1.0,1.0,5.0,0.0,0.0,0.0,2.2,2.2,2018.0,Rushing
133.0,De'Lance Turner,BAL,RB,4.0,1.0,4.0,4.0,0.0,2.0,2.0,17.0,0.0,0.0,0.0,0.5,2.1,2018.0,Rushing
134.0,Derrick Coleman,ARI,FB,16.0,2.0,3.0,1.5,0.0,3.0,2.0,17.0,0.0,0.0,0.0,0.1,2.0,2018.0,Rushing
135.0,CJ Prosise,SEA,RB,5.0,1.0,-3.0,-3.0,0.0,3.0,3.0,22.0,0.0,0.0,0.0,0.4,1.9,2018.0,Rushing
135.0,Justin Davis,LAR,RB,11.0,2.0,19.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.9,2018.0,Rushing
137.0,Jonathan Stewart,NYG,RB,3.0,6.0,17.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.7,2018.0,Rushing
138.0,David Fluellen,TEN,RB,7.0,4.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.6,2018.0,Rushing
138.0,Darius Jackson,DAL,RB,4.0,6.0,16.0,2.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,1.6,2018.0,Rushing
140.0,Nick Bellore,DET,RB,14.0,1.0,0.0,0.0,0.0,4.0,4.0,15.0,0.0,0.0,0.0,0.1,1.5,2018.0,Rushing
140.0,Brandon Wilds,JAX,RB,3.0,6.0,15.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,2018.0,Rushing
142.0,Jamaal Charles,JAX,RB,2.0,6.0,7.0,1.2,0.0,3.0,2.0,7.0,0.0,0.0,0.0,0.7,1.4,2018.0,Rushing
143.0,Jamize Olawale,DAL,FB,16.0,0.0,0.0,0.0,0.0,4.0,2.0,13.0,0.0,0.0,0.0,0.1,1.3,2018.0,Rushing
143.0,Derek Watt,LAC,FB,16.0,4.0,11.0,2.8,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.1,1.3,2018.0,Rushing
145.0,Ricky Ortiz,ATL,RB,12.0,0.0,0.0,0.0,0.0,4.0,3.0,11.0,0.0,0.0,0.0,0.1,1.1,2018.0,Rushing
146.0,Christine Michael,IND,RB,1.0,2.0,9.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,2018.0,Rushing
146.0,Ameer Abdullah,MIN,RB,10.0,1.0,1.0,1.0,0.0,4.0,3.0,28.0,0.0,1.0,1.0,0.1,0.9,2018.0,Rushing
146.0,Alan Cross,TB,FB,14.0,0.0,0.0,0.0,0.0,5.0,2.0,9.0,0.0,0.0,0.0,0.1,0.9,2018.0,Rushing
149.0,Rob Kelley,WAS,RB,2.0,4.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,2018.0,Rushing
149.0,JD McKissic,SEA,RB,5.0,3.0,8.0,2.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,2018.0,Rushing
151.0,Michael Burton,CHI,FB,8.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.1,0.6,2018.0,Rushing
152.0,Jeremy McNichols,IND,RB,1.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,2018.0,Rushing
153.0,Dan Vitale,GB,FB,5.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.2,2018.0,Rushing
154.0,Jonathan Williams,IND,RB,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,2018.0,Rushing
155.0,Taiwan Jones,BUF,RB,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.0,Rushing
155.0,Senorise Perry,MIA,RB,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.0,Rushing
155.0,Thomas Rawls,CIN,RB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.0,Rushing
155.0,Tra Carson,GB,RB,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.0,Rushing
155.0,Matt Dayes,SF,RB,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.0,Rushing
155.0,Patrick Ricard,BAL,FB,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.0,Rushing
155.0,Shane Smith,NYG,FB,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.0,Rushing
155.0,Trey Edmunds,PIT,RB,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.0,Rushing
155.0,Dare Ogunbowale,TB,RB,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.0,Rushing
155.0,Boston Scott,PHI,RB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.0,Rushing
155.0,Gregory Howell Jr.,HOU,RB,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.0,Rushing
