Rank,Name,Team,Position,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,Interceptions,FumblesForced,FumblesRecovered,DefensiveTouchdowns,FantasyPointsPerGame,FantasyPoints
55,Akiem Hicks,CHI,DE,16,41,14,14.5,7.5,65.5,16,5,0,3,0,0,7.5,120.15
56,Malcolm Jenkins,PHI,SS,16,79,18,5.5,1,6,1,8,1,3,1,0,7.5,120.1
57,Myles Jack,JAX,ILB,16,75,32,2.5,2.5,15,4,1,1,1,1,1,7.5,120
58,Kareem Jackson,HOU,CB,16,70,17,5,1,7,1,17,2,2,1,0,7.4,119.2
59,Anthony Hitchens,KC,OLB,15,81,54,6.5,0,0,1,0,0,1,0,0,7.9,118.5
59,Zach Cunningham,HOU,OLB,14,73,34,3.5,0,0,2,5,1,2,1,1,8.5,118.5
61,Ryan Kerrigan,WAS,OLB,16,30,13,17,13,90.5,19,1,0,2,1,0,7.3,117.55
62,Kevin Byard,TEN,FS,16,62,28,3,2,18,5,8,4,0,0,0,7.3,116.44
63,Justin Reid,HOU,FS,16,70,18,2,0,0,1,10,3,1,2,1,7.2,116
64,Ha'Sean Clinton-Dix,WAS,FS,16,80,12,1,1,5,2,6,3,2,1,0,7.2,115.5
65,Tyrann Mathieu,HOU,FS,16,70,19,5.5,3,20,4,8,2,0,1,0,7.1,114
65,Jessie Bates III,CIN,FS,16,73,38,0,0,0,0,7,3,0,0,1,7.1,114
67,Eric Kendricks,MIN,ILB,14,63,45,6,1,12,1,6,2,1,1,0,8.1,113.7
68,Jarran Reed,SEA,DT,16,34,16,12.5,10.5,74,24,0,0,0,2,0,7.1,112.9
69,Justin Houston,KC,OLB,12,28,9,13.5,9,58.5,15,1,1,5,3,0,9.4,112.85
70,Anthony Walker,IND,ILB,15,69,36,10.5,1,6,2,4,1,0,1,0,7.5,112.1
71,Benardrick McKinney,HOU,ILB,16,63,42,6,1.5,7.5,5,7,1,1,0,0,7,111.75
72,Matt Milano,BUF,OLB,13,52,26,13.5,1,8,3,7,3,0,3,0,8.4,109.3
73,Carlos Dunlap,CIN,DE,16,31,16,12,8,32,22,8,0,2,1,0,6.8,109.2
74,Eddie Jackson,CHI,SS,14,41,10,3,1,2,1,14,6,1,1,3,7.7,108.2
75,Brad McDougald,SEA,SS,16,66,12,4.5,0,0,0,9,3,3,1,0,6.7,106.5
76,Michael Bennett,PHI,DE,16,25,9,14.5,9,70.5,30,1,0,2,0,0,6.6,106.05
77,CJ Mosley,BAL,ILB,15,70,35,7,0.5,0.5,2,5,1,0,0,0,7,105.55
78,Damon Harrison,DET,DT,17,52,29,12.5,3.5,15,8,1,0,2,1,0,6.2,105.5
79,Jurrell Casey,TEN,NT,15,36,26,15.5,7,47.5,13,0,0,2,1,0,7,105.25
80,Zach Brown,WAS,ILB,16,69,28,10.5,1,5,2,1,0,2,0,0,6.6,105
81,Kenny Moore,IND,CB,15,63,14,5,1.5,13,2,11,3,1,0,0,7,104.3
82,Vince Williams,PIT,ILB,14,50,26,8,4.5,30.5,10,2,1,0,0,1,7.4,104.05
83,Damarious Randall,CLE,SS,15,72,12,2,0,0,0,9,4,0,1,0,6.9,104
84,Trey Flowers,NE,DE,15,32,25,12,7.5,43,20,2,0,2,0,0,6.9,103.8
85,Raekwon McMillan,MIA,ILB,16,69,36,6.5,0,0,0,1,0,2,1,0,6.5,103.5
86,Haason Reddick,ARI,OLB,16,53,27,10,4,39,7,5,0,1,0,0,6.5,103.4
87,Jordan Hicks,PHI,ILB,12,61,30,5,3,22,6,5,0,0,1,0,8.6,103.2
87,Brian Poole,ATL,CB,16,54,21,4,3,27,5,6,3,0,2,0,6.4,103.2
89,Nigel Bradham,PHI,OLB,15,67,30,4.5,2,9,4,4,0,0,1,0,6.8,102.4
90,Damontae Kazee,ATL,SS,16,59,22,1,0,0,0,10,7,0,0,0,6.4,102
91,Donte Jackson,CAR,CB,16,63,10,5,1,8,1,9,4,1,0,0,6.3,100.8
92,Tre Boston,ARI,FS,14,66,13,2,0,0,2,9,3,1,1,0,7.2,100.5
93,Za'Darius Smith,BAL,DE,16,27,18,12,8.5,63,24,2,0,1,0,0,6.3,100.3
94,Cameron Heyward,PIT,DE,16,29,22,11,8,57.5,18,3,0,1,1,0,6.2,99.75
95,Adrian Phillips,LAC,SS,16,65,29,3,0,0,1,10,1,1,0,0,6.2,99.5
96,Malcolm Butler,TEN,CB,16,60,9,4,1,9,1,12,3,0,0,1,6.2,99.4
97,Yannick Ngakoue,JAX,DE,16,25,3,12.5,9.5,62.5,33,1,0,0,0,0,6.1,98.25
98,Quandre Diggs,DET,SS,16,64,14,3,0,0,1,8,3,0,0,1,6.1,98
99,Prince Amukamara,CHI,CB,15,57,9,3,0,0,0,12,3,2,0,1,6.5,97.5
99,Eli Apple,NO,CB,15,62,13,0,0,0,0,14,2,1,2,0,6.5,97.5
101,Jerome Baker,MIA,OLB,16,57,23,4,3,28,4,3,1,0,0,1,6.1,97.3
102,Jerry Hughes,BUF,DE,16,30,7,16.5,7,42.5,19,1,0,3,0,0,6.1,97.25
103,Justin Simmons,DEN,FS,16,71,26,0,0,0,0,4,3,0,0,0,6.1,97
103,Marshon Lattimore,NO,CB,16,49,10,1,0,0,0,12,2,5,3,0,6.1,97
103,Desmond King,LAC,CB,16,47,14,4,0,0,2,10,3,1,1,1,6.1,97
106,Patrick Onwuasor,BAL,OLB,16,37,22,9.5,5.5,44.5,12,3,1,2,0,0,6.1,96.95
107,Landon Collins,NYG,SS,12,67,29,6,0,0,2,4,0,1,0,0,8,96.5
108,Kendall Fuller,KC,CB,15,64,18,2,0,0,0,12,2,1,0,0,6.4,96
109,Vonn Bell,NO,SS,16,62,26,5,1,9,3,3,0,1,1,0,5.9,94.9
110,Jonathan Allen,WAS,DE,16,34,26,11.5,8,61,14,0,0,0,0,0,5.9,94.6
111,Reshad Jones,MIA,FS,14,57,14,5.5,0,0,1,9,3,0,0,1,6.8,94.5
112,Melvin Ingram,LAC,DE,16,28,15,11.5,7,54.5,16,3,1,1,1,0,5.9,94.45
113,Preston Smith,WAS,OLB,16,30,22,8,4,32.5,16,3,1,1,1,1,5.9,94.25
114,Jatavis Brown,LAC,OLB,15,61,36,3,1,8,1,5,0,1,0,0,6.3,93.8
115,Terrell Suggs,BAL,DE,16,25,9,13,7,51,14,6,0,1,1,1,5.8,93.6
116,Travis Carrie,CLE,CB,16,58,16,3.5,1,9,1,8,1,2,1,0,5.8,93.4
117,Logan Ryan,TEN,CB,14,54,22,4,4,32,5,8,0,0,0,0,6.7,93.2
118,Jabaal Sheard,IND,DE,16,37,13,16.5,5.5,41.5,14,4,0,0,0,0,5.8,93.15
119,Ndamukong Suh,LAR,NT,16,36,23,5,4.5,25.5,19,4,0,0,2,0,5.8,93.05
120,Devin McCourty,NE,FS,16,59,23,0.5,0,0,0,4,1,1,2,1,5.8,93
120,TJ McDonald,MIA,FS,14,63,23,1.5,0,0,0,5,3,0,1,0,6.6,93
120,Curtis Riley,NYG,CB,16,63,12,0,0,0,1,5,4,0,0,1,5.8,93
123,Grady Jarrett,ATL,DT,14,27,25,12,6,34,17,0,0,3,0,0,6.6,92.9
124,Josh Bynes,ARI,ILB,11,52,23,5.5,2,22,3,5,0,0,1,1,8.4,92.2
125,Ron Parker,KC,SS,15,64,13,1,1,6,1,5,2,0,0,1,6.1,92.1
126,Pierre Desir,IND,CB,16,60,19,2.5,0,0,0,8,1,2,1,0,5.8,92
126,Kyle Fuller,CHI,CB,16,45,10,0,0,0,0,21,7,0,0,0,5.8,92
126,Steven Nelson,KC,CB,16,58,10,2,0,0,0,15,4,0,0,0,5.8,92
129,Allen Bailey,KC,DE,16,27,11,7,6,34,10,0,0,3,4,1,5.7,91.9
130,Matt Judon,BAL,OLB,16,29,16,10.5,7,41,20,3,0,1,0,0,5.7,91.6
131,Geno Atkins,CIN,DT,16,24,21,13,10,50.5,19,0,0,0,0,0,5.7,91.55
132,Denico Autry,IND,DT,12,28,9,14,9,58,11,1,0,2,1,0,7.6,91.3
132,Kenny Clark,GB,NT,13,36,19,8.5,6,43,9,3,0,1,2,0,7,91.3
134,Janoris Jenkins,NYG,CB,16,59,11,2,0,0,0,15,2,1,0,0,5.7,90.5
135,James Bradberry,CAR,CB,16,58,12,1.5,1,9,1,15,1,1,0,0,5.6,90.4
