Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
100,Darrel Williams,KC,RB,4,13,44,3.4,0,3,3,27,1,0,0,3.3,13.1
101,Stevan Ridley,PIT,RB,10,29,80,2.8,1,4,3,18,0,2,2,1.2,11.8
102,Corey Grant,JAX,RB,5,13,40,3.1,0,12,9,67,0,0,0,2.1,10.7
103,Deandre Washington,OAK,RB,10,30,115,3.8,0,1,1,9,0,1,1,1,10.4
104,John Kelly,LAR,RB,4,27,74,2.7,0,3,2,27,0,0,0,2.5,10.1
105,Keith Ford,BUF,RB,2,21,79,3.8,0,5,3,21,0,0,0,5,10
106,Charcandrick West,KC,RB,3,2,-1,-0.5,0,3,2,37,1,0,0,3.2,9.6
107,CJ Ham,MIN,RB,15,6,8,1.3,0,15,11,85,0,0,0,0.6,9.3
108,Devonta Freeman,ATL,RB,2,14,68,4.9,0,7,5,23,0,0,0,4.6,9.1
109,D'Onta Foreman,HOU,RB,1,7,-1,-0.1,0,2,2,28,1,1,0,8.7,8.7
110,Dontrell Hilliard,CLE,RB,11,0,0,0,0,10,9,105,0,0,0,0.8,8.5
111,Elijhaa Penny,NYG,RB,12,7,25,3.6,0,9,8,50,0,0,0,0.6,7.5
111,Mark Walton,CIN,RB,14,14,34,2.4,0,8,5,41,0,0,0,0.5,7.5
113,Kenjon Barner,CAR,RB,9,19,71,3.7,0,1,1,3,0,1,0,0.8,7.4
114,Patrick DiMarco,BUF,FB,16,1,9,9,0,4,3,62,0,0,0,0.4,7.1
115,Detrez Newsome,LAC,RB,9,11,49,4.5,0,2,2,19,0,0,0,0.8,6.8
116,Roc Thomas,MIN,RB,5,8,30,3.8,0,4,2,21,0,0,0,1,5.1
117,Mike Boone,MIN,RB,8,11,47,4.3,0,3,2,1,0,0,0,0.6,4.8
118,Roosevelt Nix,PIT,RB,16,1,4,4,0,6,4,38,0,0,0,0.3,4.2
119,Tommy Bohanon,JAX,FB,16,1,0,0,0,9,6,41,0,0,0,0.3,4.1
120,Byron Marshall,WAS,RB,6,3,9,3,0,6,4,30,0,0,0,0.6,3.9
120,TJ Logan,ARI,RB,10,2,2,1,0,7,7,37,0,0,0,0.4,3.9
122,Tre Madden,SEA,RB,14,3,3,1,0,3,2,35,0,0,0,0.3,3.8
123,Samaje Perine,WAS,RB,5,8,32,4,0,4,3,5,0,0,0,0.7,3.7
124,David Williams,JAX,RB,3,8,36,4.5,0,0,0,0,0,0,0,1.2,3.6
125,Tyler Ervin,HOU,RB,9,0,0,0,0,4,3,35,0,1,0,0.4,3.5
126,Shaun Wilson,TB,RB,5,6,29,4.8,0,5,3,5,0,0,0,0.7,3.4
127,Mike Gillislee,NO,RB,4,16,43,2.7,0,1,1,9,0,1,1,0.8,3.2
128,Jeremy Hill,NE,RB,1,4,25,6.2,0,1,1,6,0,0,0,3.1,3.1
129,Benjamin Cunningham,CHI,RB,15,11,20,1.8,0,2,1,9,0,0,0,0.2,2.9
130,Jeremy Langford,ATL,RB,1,9,25,2.8,0,0,0,0,0,0,0,2.5,2.5
131,Keith Smith,OAK,FB,16,1,0,0,0,7,5,23,0,0,0,0.1,2.3
132,Travaris Cadet,CAR,RB,1,11,17,1.5,0,1,1,5,0,0,0,2.2,2.2
133,De'Lance Turner,BAL,RB,4,1,4,4,0,2,2,17,0,0,0,0.5,2.1
134,Derrick Coleman,ARI,FB,16,2,3,1.5,0,3,2,17,0,0,0,0.1,2
135,CJ Prosise,SEA,RB,5,1,-3,-3,0,3,3,22,0,0,0,0.4,1.9
135,Justin Davis,LAR,RB,11,2,19,9.5,0,0,0,0,0,0,0,0.2,1.9
137,Jonathan Stewart,NYG,RB,3,6,17,2.8,0,0,0,0,0,0,0,0.6,1.7
138,David Fluellen,TEN,RB,7,4,16,4,0,0,0,0,0,0,0,0.2,1.6
138,Darius Jackson,DAL,RB,4,6,16,2.7,0,1,0,0,0,0,0,0.4,1.6
140,Nick Bellore,DET,RB,14,1,0,0,0,4,4,15,0,0,0,0.1,1.5
140,Brandon Wilds,JAX,RB,3,6,15,2.5,0,0,0,0,0,0,0,0.5,1.5
142,Jamaal Charles,JAX,RB,2,6,7,1.2,0,3,2,7,0,0,0,0.7,1.4
143,Jamize Olawale,DAL,FB,16,0,0,0,0,4,2,13,0,0,0,0.1,1.3
143,Derek Watt,LAC,FB,16,4,11,2.8,0,1,1,2,0,0,0,0.1,1.3
145,Ricky Ortiz,ATL,RB,12,0,0,0,0,4,3,11,0,0,0,0.1,1.1
146,Christine Michael,IND,RB,1,2,9,4.5,0,0,0,0,0,0,0,0.9,0.9
146,Ameer Abdullah,MIN,RB,10,1,1,1,0,4,3,28,0,1,1,0.1,0.9
146,Alan Cross,TB,FB,14,0,0,0,0,5,2,9,0,0,0,0.1,0.9
149,Rob Kelley,WAS,RB,2,4,8,2,0,0,0,0,0,0,0,0.4,0.8
149,JD McKissic,SEA,RB,5,3,8,2.7,0,1,0,0,0,0,0,0.2,0.8
151,Michael Burton,CHI,FB,8,0,0,0,0,1,1,6,0,0,0,0.1,0.6
152,Jeremy McNichols,IND,RB,1,2,4,2,0,0,0,0,0,0,0,0.4,0.4
153,Dan Vitale,GB,FB,5,0,0,0,0,2,1,2,0,0,0,0,0.2
154,Jonathan Williams,IND,RB,3,3,0,0,0,1,1,1,0,0,0,0,0.1
155,Taiwan Jones,BUF,RB,6,0,0,0,0,2,0,0,0,0,0,0,0
155,Senorise Perry,MIA,RB,16,0,0,0,0,0,0,0,0,0,0,0,0
155,Thomas Rawls,CIN,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
155,Tra Carson,GB,RB,6,0,0,0,0,0,0,0,0,0,0,0,0
155,Matt Dayes,SF,RB,6,0,0,0,0,0,0,0,0,0,0,0,0
155,Patrick Ricard,BAL,FB,10,0,0,0,0,0,0,0,0,0,0,0,0
155,Shane Smith,NYG,FB,2,0,0,0,0,0,0,0,0,0,0,0,0
155,Trey Edmunds,PIT,RB,4,0,0,0,0,0,0,0,0,0,0,0,0
155,Dare Ogunbowale,TB,RB,2,0,0,0,0,0,0,0,0,0,0,0,0
155,Boston Scott,PHI,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
155,Gregory Howell Jr.,HOU,RB,15,0,0,0,0,0,0,0,0,0,0,0,0
166,De'Angelo Henderson,NYJ,RB,1,2,19,9.5,0,0,0,0,0,1,1,-0.1,-0.1
167,Robert Turbin,IND,RB,2,4,10,2.5,0,2,1,3,0,1,1,-0.4,-0.7
