Rank,Name,Team,Position,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,Interceptions,FumblesForced,FumblesRecovered,DefensiveTouchdowns,FantasyPointsPerGame,FantasyPoints
213,Dee Milliner,NYJ,CB,13,45,11,1,0,0,0,15,3,0,0,0,5.8,75.5
214,Michael Brockers,LAR,DE,16,38,8,7,5.5,24,10,0,0,1,0,0,4.7,75.4
215,Kendall Langford,LAR,DE,16,36,13,11,5,28,5,4,0,0,0,0,4.7,75.3
215,Darnell Dockett,ARI,DT,16,36,10,12,4.5,23,11,0,0,0,0,0,4.7,75.3
217,Mike Neal,GB,OLB,16,36,11,7,5,17,8,1,1,1,0,0,4.7,75.2
217,Antonio Allen,NYJ,FS,16,37,21,2,1,7,1,7,1,0,0,1,4.7,75.2
219,Quintin Mikell,CAR,SS,14,40,18,2,3,21,2,5,0,2,1,0,5.4,75.1
219,Nolan Carroll,MIA,CB,16,43,3,2,2,16,2,12,3,0,0,0,4.7,75.1
219,Dontari Poe,KC,DT,15,43,8,5,4.5,31,7,4,0,0,0,0,5,75.1
222,Andrew Sendejo,MIN,SS,16,48,31,5,0,0,0,3,1,0,0,0,4.7,74.5
223,Leonard Johnson,TB,CB,16,47,14,0,0,0,0,8,1,1,0,1,4.6,74
224,Willie Young,DET,OLB,16,29,17,7,3,20,10,5,0,0,2,0,4.6,73.5
225,Logan Ryan,NE,CB,16,29,6,1,1.5,14,2,10,5,1,0,1,4.6,73.4
226,Brooks Reed,HOU,OLB,16,43,13,9,3,17,6,1,0,0,0,0,4.6,73.2
227,Andre Branch,JAX,DE,16,30,7,10,6,53,9,3,0,0,0,0,4.6,72.8
228,Chris Jones,NE,DT,13,25,29,8,6,42,9,0,0,0,0,0,5.6,72.7
229,Johnathan Joseph,HOU,CB,15,44,3,1,0,0,1,16,3,0,0,0,4.8,72.5
230,Sean Smith,KC,CB,16,43,4,0,0,0,0,15,2,0,0,1,4.5,72
