Rank,Name,Team,Position,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FantasyPoints,PositionRank,StaticRank
198,Rashaan Melvin,OAK,CB,DEN,20,null,6.76,DB8,198
200,Corey Graham,PHI,FS,HOU,10,null,6.75,DB9,200
201,Josh Reynolds,LAR,WR,ARI,15,10,6.74,WR35,201
202,Dee Ford,KC,DE,SEA,11,null,6.72,DL6,202
202,Rasul Douglas,PHI,CB,HOU,10,null,6.72,DB10,202
202,Dede Westbrook,JAX,WR,MIA,28,18,6.72,WR36,202
205,Houston Texans,HOU,DST,PHI,null,null,6.7,DST16,205
205,Carolina Panthers,CAR,DST,ATL,null,null,6.7,DST17,205
205,Los Angeles Chargers,LAC,DST,BAL,null,null,6.7,DST18,205
208,John Johnson,LAR,SS,ARI,15,null,6.67,DB11,208
208,Daesean Hamilton,DEN,WR,OAK,30,16,6.67,WR37,208
210,Steven Hauschka,BUF,K,NE,21,20,6.66,K27,210
211,Justin Simmons,DEN,FS,OAK,30,null,6.63,DB12,211
211,Derwin James,LAC,S,BAL,1,null,6.63,DB13,211
213,Wesley Woodyard,TEN,ILB,WAS,12,null,6.54,LB38,213
213,Jessie Bates III,CIN,FS,CLE,24,null,6.54,DB14,213
215,Kenneth Dixon,BAL,RB,LAC,8,22,6.5,RB36,215
215,Kansas City Chiefs,KC,DST,SEA,null,null,6.5,DST19,215
217,Courtland Sutton,DEN,WR,OAK,30,16,6.48,WR38,217
218,Malcolm Jenkins,PHI,SS,HOU,10,null,6.44,DB15,218
219,TJ Watt,PIT,OLB,NO,13,null,6.42,LB39,219
220,Chris Hogan,NE,WR,BUF,4,5,6.4,WR39,220
221,Haason Reddick,ARI,OLB,LAR,20,null,6.39,LB40,221
222,Pierre Desir,IND,CB,NYG,17,null,6.38,DB16,222
223,Harrison Smith,MIN,FS,DET,16,null,6.37,DB17,223
224,Jamie Collins,CLE,OLB,CIN,32,null,6.34,LB41,224
225,Daniel Carlson,OAK,K,DEN,20,22,6.32,K28,225
226,New York Jets,NYJ,DST,GB,null,null,6.3,DST20,226
226,San Francisco 49ers,SF,DST,CHI,null,null,6.3,DST21,226
228,Mohamed Sanu,ATL,WR,CAR,22,25,6.29,WR40,228
229,DeSean Jackson,TB,WR,DAL,7,4,6.27,WR41,229
